lon,lat,owner,watershed,type,form
-71.11252451610,42.41886912790,CITY-ROW,IN-1,STORM WATER INLET,
-71.11297742640,42.41903651550,CITY-ROW,IN-2,STORM WATER INLET,
-71.11424981610,42.41972931650,CITY-ROW,IN-3,STORM WATER INLET,
-71.12593451520,42.42904961340,CITY-ROW,IN-4,STORM WATER INLET,
-71.12584184420,42.42911813540,CITY-ROW,IN-5,STORM WATER INLET,
-71.12617163700,42.42972095670,CITY-ROW,IN-6,STORM WATER INLET,
-71.12618922140,42.43026639510,CITY-ROW,IN-7,STORM WATER INLET,
-71.12566599840,42.42902054510,CITY-ROW,IN-9,STORM WATER INLET,
-71.12567825070,42.42907936820,CITY-ROW,IN-10,STORM WATER INLET,
-71.12485454480,42.42923136040,CITY-ROW,IN-11,STORM WATER INLET,
-71.12427557720,42.43046747740,CITY-ROW,IN-12,STORM WATER INLET,
-71.12440365920,42.43091708870,CITY-ROW,IN-13,STORM WATER INLET,
-71.12447629440,42.43114470820,CITY-ROW,IN-14,STORM WATER INLET,
-71.12414666720,42.43002682080,CITY-ROW,IN-15,STORM WATER INLET,
-71.12395335620,42.42944952290,CITY-ROW,IN-16,STORM WATER INLET,
-71.12411866910,42.42928809650,CITY-ROW,IN-17,STORM WATER INLET,
-71.12417796020,42.42932900490,CITY-ROW,IN-18,STORM WATER INLET,
-71.09204421160,42.40505242550,CITY-ROW,IN-19,STORM WATER INLET,
-71.08587504800,42.40464650360,CITY-ROW,IN-20,STORM WATER INLET,
-71.08493281620,42.41313439810,CITY-ROW,IN-21,STORM WATER INLET,
-71.08460842240,42.41308143130,CITY-ROW,IN-22,STORM WATER INLET,
-71.08472256050,42.41255416600,CITY-ROW,IN-23,STORM WATER INLET,
-71.10577312660,42.41880254100,CITY-ROW,IN-25,STORM WATER INLET,
-71.10550875150,42.41890283710,CITY-ROW,IN-26,STORM WATER INLET,
-71.10550523600,42.41879816530,CITY-ROW,IN-27,STORM WATER INLET,
-71.10652036860,42.41863730690,CITY-ROW,IN-28,STORM WATER INLET,
-71.10697350670,42.41849211900,CITY-ROW,IN-29,STORM WATER INLET,
-71.10915623290,42.41828835930,CITY-ROW,IN-30,STORM WATER INLET,
-71.11000316490,42.41801890740,CITY-ROW,IN-31,STORM WATER INLET,
-71.11003211410,42.41797163840,CITY-ROW,IN-32,STORM WATER INLET,
-71.11010655260,42.41785655890,CITY-ROW,IN-33,STORM WATER INLET,
-71.11051462210,42.41677775990,CITY-ROW,IN-34,STORM WATER INLET,
-71.11038534370,42.41666488250,CITY-ROW,IN-35,STORM WATER INLET,
-71.10989809640,42.41777829130,CITY-ROW,IN-36,STORM WATER INLET,
-71.10978722910,42.41791655610,CITY-ROW,IN-37,STORM WATER INLET,
-71.10920421220,42.41804071510,CITY-ROW,IN-38,STORM WATER INLET,
-71.10904250900,42.41810470140,CITY-ROW,IN-39,STORM WATER INLET,
-71.10862523320,42.41798295260,CITY-ROW,IN-40,STORM WATER INLET,
-71.10817297390,42.41783257880,CITY-ROW,IN-41,STORM WATER INLET,
-71.10837310210,42.41779783480,CITY-ROW,IN-42,STORM WATER INLET,
-71.10794423850,42.41776497880,CITY-ROW,IN-43,STORM WATER INLET,
-71.10758828300,42.41767842430,CITY-ROW,IN-44,STORM WATER INLET,
-71.10569724040,42.41700384790,CITY-ROW,IN-50,STORM WATER INLET,
-71.10548116670,42.41682267520,CITY-ROW,IN-51,STORM WATER INLET,
-71.10478118490,42.41665181710,CITY-ROW,IN-52,STORM WATER INLET,
-71.10427810080,42.41638708390,CITY-ROW,IN-53,STORM WATER INLET,
-71.10414458480,42.41640912630,CITY-ROW,IN-54,STORM WATER INLET,
-71.10557285520,42.41726053790,CITY-ROW,IN-55,STORM WATER INLET,
-71.10545840320,42.41755475380,CITY-ROW,IN-56,STORM WATER INLET,
-71.10538227190,42.41749168060,CITY-ROW,IN-57,STORM WATER INLET,
-71.10522723450,42.41793530730,CITY-ROW,IN-58,STORM WATER INLET,
-71.10533046720,42.41844472300,CITY-ROW,IN-59,STORM WATER INLET,
-71.10528065630,42.41868840270,CITY-ROW,IN-60,STORM WATER INLET,
-71.10567933250,42.41867489020,CITY-ROW,IN-61,STORM WATER INLET,
-71.11229538380,42.42856392580,CITY-ROW,IN-62,STORM WATER INLET,
-71.11093393910,42.42844997340,CITY-ROW,IN-63,STORM WATER INLET,
-71.11100521780,42.42852875320,CITY-ROW,IN-64,STORM WATER INLET,
-71.11048289690,42.42848871940,CITY-ROW,IN-65,STORM WATER INLET,
-71.11047374170,42.42857226350,CITY-ROW,IN-66,STORM WATER INLET,
-71.11331415510,42.43014925920,CITY-ROW,IN-67,STORM WATER INLET,
